date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:08:57	24085/24085	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Apr%202022%2022:08:55%20GMT	https://trexy247xd.itch.io/elderland	C:/Benim%20Web%20Sitem/248234782397934/trexy247xd.itch.io/elderland.html	(from )
01:08:57	190/190	---M--	200	added ('OK')	text/plain	etag:%225cd233aa-be%22	https://trexy247xd.itch.io/robots.txt		(from )
01:08:58	988/988	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Apr%202022%2022:08:58%20GMT	https://img.itch.zone/aW1nLzg2NjIyMDQuanBn/32x32%23/uPm7r1.jpg	C:/Benim%20Web%20Sitem/248234782397934/img.itch.zone/aW1nLzg2NjIyMDQuanBn/32x32#/uPm7r1.jpg	(from https://trexy247xd.itch.io/elderland)
01:08:59	165674/165674	---MCZ	200	added ('OK')	text/css	etag:W/%22625739e4-2872a%22	https://static.itch.io/game.css?1649883624	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/game2e6b.css	(from https://trexy247xd.itch.io/elderland)
01:09:00	125469/125469	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22625739e0-1ea1d%22	https://static.itch.io/lib.js?1649883624	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/lib2e6b.js	(from https://trexy247xd.itch.io/elderland)
01:09:00	203120/203120	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22625739e4-31970%22	https://static.itch.io/bundle.min.js?1649883624	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/bundle.min2e6b.js	(from https://trexy247xd.itch.io/elderland)
01:09:00	23081/23081	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2260414303-5a29%22	https://static.itch.io/lib/jquery.maskMoney.js	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/lib/jquery.maskMoney.js	(from https://trexy247xd.itch.io/elderland)
01:09:00	125007/125007	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22625739e4-1e84f%22	https://static.itch.io/game.min.js?1649883624	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/game.min2e6b.js	(from https://trexy247xd.itch.io/elderland)
01:09:07	13236/13236	---M--	200	added ('OK')	image/png	etag:%225f7ddf27-33b4%22	https://cdn.cloudflare.steamstatic.com/steam/apps/1413660/extras/skill_text.png?t=1648061322	C:/Benim%20Web%20Sitem/248234782397934/cdn.cloudflare.steamstatic.com/steam/apps/1413660/extras/skill_textb5d0.png	(from https://trexy247xd.itch.io/elderland)
01:09:07	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	http://www.google-analytics.com/analytics.js	C:/Benim%20Web%20Sitem/248234782397934/www.google-analytics.com/analytics.js	(from https://trexy247xd.itch.io/elderland)
